
"290 Mona Avenue - Ottawa, ON",$1399 - $1849 ,vanier-south
"168 McArthur Avenue - Ottawa, ON",$2145 ,vanier-south
"784 Saint Laurent Boulevard - Ottawa, ON",$1775 - $1850 ,vanier-south
"203 Heritage Maple Way - Ottawa, ON",$2400 ,vanier-south
"387 Carmen Avenue - Ottawa, ON",$1765,vanier-south
"357 Lacasse Avenue - Ottawa, ON",$1700,vanier-south
"357 Lacasse Avenue - Ottawa, ON",$1900,vanier-south
"357 Lacasse Avenue - Ottawa, ON",$1900,vanier-south
